/home/jsolorzano/work/kf_fastqs
/home/jsolorzano/work/kf_fastqs
Started analysis of PDAC200Tkf1_fwd.fq.gz
Started analysis of PDAC200Tkf1_rev.fq.gz
Started analysis of PDAC201T_F8-9kf1_fwd.fq.gz
Started analysis of PDAC201T_F8-9kf1_rev.fq.gz
Started analysis of PDAC201Tkf1_fwd.fq.gz
Started analysis of PDAC201Tkf1_rev.fq.gz
Started analysis of PDAC202T_F8-9kf1_fwd.fq.gz
Started analysis of PDAC202T_F8-9kf1_rev.fq.gz
Started analysis of PDAC202Tkf1_fwd.fq.gz
Started analysis of PDAC202Tkf1_rev.fq.gz
Started analysis of PDAC203T_F8-9kf1_fwd.fq.gz
Started analysis of PDAC203T_F8-9kf1_rev.fq.gz
Started analysis of PDAC203Tkf1_fwd.fq.gz
Started analysis of PDAC203Tkf1_rev.fq.gz
Approx 5% complete for PDAC207T_F8-9kf1_fwd.fq.gz
Approx 90% complete for PDAC205T_F8-9kf1_fwd.fq.gz
Approx 60% complete for PDAC204Tkf1_fwd.fq.gz
Approx 55% complete for PDAC204Tkf1_rev.fq.gz
Started analysis of PDAC207T_F8-9kf1_rev.fq.gz
Approx 60% complete for PDAC206T_F8-9kf1_fwd.fq.gz
Approx 40% complete for PDAC205Tkf1_fwd.fq.gz
Approx 60% complete for PDAC206T_F8-9kf1_rev.fq.gz
Approx 90% complete for PDAC205T_F8-9kf1_rev.fq.gz
Approx 15% complete for PDAC206Tkf1_fwd.fq.gz
Approx 65% complete for PDAC206T_F8-9kf1_fwd.fq.gz
Approx 10% complete for PDAC207T_F8-9kf1_fwd.fq.gz
Approx 5% complete for PDAC207T_F8-9kf1_rev.fq.gz
Approx 95% complete for PDAC205T_F8-9kf1_fwd.fq.gz
Approx 40% complete for PDAC205Tkf1_rev.fq.gz
Approx 65% complete for PDAC206T_F8-9kf1_rev.fq.gz
Approx 15% complete for PDAC206Tkf1_rev.fq.gz
Approx 75% complete for PDAC201Tkf1_rev.fq.gz
Approx 70% complete for PDAC206T_F8-9kf1_fwd.fq.gz
Approx 45% complete for PDAC205Tkf1_fwd.fq.gz
Approx 65% complete for PDAC204Tkf1_fwd.fq.gz
Approx 95% complete for PDAC205T_F8-9kf1_rev.fq.gz
Approx 60% complete for PDAC204Tkf1_rev.fq.gz
Approx 15% complete for PDAC207T_F8-9kf1_fwd.fq.gz
Approx 10% complete for PDAC207T_F8-9kf1_rev.fq.gz
Analysis complete for PDAC205T_F8-9kf1_fwd.fq.gz
Approx 70% complete for PDAC206T_F8-9kf1_rev.fq.gz
Started analysis of PDAC207Tkf1_fwd.fq.gz
Approx 80% complete for PDAC201Tkf1_fwd.fq.gz
Approx 75% complete for PDAC206T_F8-9kf1_fwd.fq.gz
Approx 45% complete for PDAC205Tkf1_rev.fq.gz
Analysis complete for PDAC205T_F8-9kf1_rev.fq.gz
Approx 20% complete for PDAC207T_F8-9kf1_fwd.fq.gz
Approx 75% complete for PDAC206T_F8-9kf1_rev.fq.gz
Started analysis of PDAC207Tkf1_rev.fq.gz
Approx 15% complete for PDAC207T_F8-9kf1_rev.fq.gz
Approx 80% complete for PDAC206T_F8-9kf1_fwd.fq.gz
Approx 50% complete for PDAC205Tkf1_fwd.fq.gz
Approx 70% complete for PDAC204Tkf1_fwd.fq.gz
Approx 5% complete for PDAC207Tkf1_fwd.fq.gz
Approx 20% complete for PDAC206Tkf1_fwd.fq.gz
Approx 80% complete for PDAC206T_F8-9kf1_rev.fq.gz
Approx 65% complete for PDAC204Tkf1_rev.fq.gz
Approx 85% complete for PDAC206T_F8-9kf1_fwd.fq.gz
Approx 25% complete for PDAC207T_F8-9kf1_fwd.fq.gz
Approx 20% complete for PDAC207T_F8-9kf1_rev.fq.gz
Approx 80% complete for PDAC201Tkf1_rev.fq.gz
Approx 50% complete for PDAC205Tkf1_rev.fq.gz
Approx 5% complete for PDAC207Tkf1_rev.fq.gz
Approx 85% complete for PDAC206T_F8-9kf1_rev.fq.gz
Approx 20% complete for PDAC206Tkf1_rev.fq.gz
Approx 90% complete for PDAC206T_F8-9kf1_fwd.fq.gz
Approx 55% complete for PDAC205Tkf1_fwd.fq.gz
Approx 10% complete for PDAC207Tkf1_fwd.fq.gz
Approx 30% complete for PDAC207T_F8-9kf1_fwd.fq.gz
Approx 85% complete for PDAC201Tkf1_fwd.fq.gz
Approx 90% complete for PDAC206T_F8-9kf1_rev.fq.gz
Approx 25% complete for PDAC207T_F8-9kf1_rev.fq.gz
Approx 75% complete for PDAC204Tkf1_fwd.fq.gz
Approx 95% complete for PDAC206T_F8-9kf1_fwd.fq.gz
Approx 70% complete for PDAC204Tkf1_rev.fq.gz
Approx 10% complete for PDAC207Tkf1_rev.fq.gz
Approx 55% complete for PDAC205Tkf1_rev.fq.gz
Approx 95% complete for PDAC206T_F8-9kf1_rev.fq.gz
Approx 35% complete for PDAC207T_F8-9kf1_fwd.fq.gz
Analysis complete for PDAC206T_F8-9kf1_fwd.fq.gz
Approx 60% complete for PDAC205Tkf1_fwd.fq.gz
Started analysis of PDAC208T_F8-9kf1_fwd.fq.gz
Approx 30% complete for PDAC207T_F8-9kf1_rev.fq.gz
Approx 15% complete for PDAC207Tkf1_fwd.fq.gz
Approx 25% complete for PDAC206Tkf1_fwd.fq.gz
Analysis complete for PDAC206T_F8-9kf1_rev.fq.gz
Started analysis of PDAC208T_F8-9kf1_rev.fq.gz
Approx 5% complete for PDAC208T_F8-9kf1_fwd.fq.gz
Approx 40% complete for PDAC207T_F8-9kf1_fwd.fq.gz
Approx 80% complete for PDAC204Tkf1_fwd.fq.gz
Approx 15% complete for PDAC207Tkf1_rev.fq.gz
Approx 85% complete for PDAC201Tkf1_rev.fq.gz
Approx 35% complete for PDAC207T_F8-9kf1_rev.fq.gz
Approx 25% complete for PDAC206Tkf1_rev.fq.gz
Approx 60% complete for PDAC205Tkf1_rev.fq.gz
Approx 5% complete for PDAC208T_F8-9kf1_rev.fq.gz
Approx 20% complete for PDAC207Tkf1_fwd.fq.gz
Approx 10% complete for PDAC208T_F8-9kf1_fwd.fq.gz
Approx 65% complete for PDAC205Tkf1_fwd.fq.gz
Approx 75% complete for PDAC204Tkf1_rev.fq.gz
Approx 90% complete for PDAC201Tkf1_fwd.fq.gz
Approx 45% complete for PDAC207T_F8-9kf1_fwd.fq.gz
Approx 10% complete for PDAC208T_F8-9kf1_rev.fq.gz
Approx 40% complete for PDAC207T_F8-9kf1_rev.fq.gz
Approx 15% complete for PDAC208T_F8-9kf1_fwd.fq.gz
Approx 20% complete for PDAC207Tkf1_rev.fq.gz
Approx 85% complete for PDAC204Tkf1_fwd.fq.gz
Approx 15% complete for PDAC208T_F8-9kf1_rev.fq.gz
Approx 25% complete for PDAC207Tkf1_fwd.fq.gz
Approx 50% complete for PDAC207T_F8-9kf1_fwd.fq.gz
Approx 65% complete for PDAC205Tkf1_rev.fq.gz
Approx 20% complete for PDAC208T_F8-9kf1_fwd.fq.gz
Approx 70% complete for PDAC205Tkf1_fwd.fq.gz
Approx 45% complete for PDAC207T_F8-9kf1_rev.fq.gz
Approx 30% complete for PDAC206Tkf1_fwd.fq.gz
Approx 80% complete for PDAC204Tkf1_rev.fq.gz
Approx 20% complete for PDAC208T_F8-9kf1_rev.fq.gz
Approx 25% complete for PDAC208T_F8-9kf1_fwd.fq.gz
Approx 25% complete for PDAC207Tkf1_rev.fq.gz
Approx 55% complete for PDAC207T_F8-9kf1_fwd.fq.gz
Approx 90% complete for PDAC201Tkf1_rev.fq.gz
Approx 30% complete for PDAC207Tkf1_fwd.fq.gz
Approx 95% complete for PDAC201Tkf1_fwd.fq.gz
Approx 50% complete for PDAC207T_F8-9kf1_rev.fq.gz
Approx 25% complete for PDAC208T_F8-9kf1_rev.fq.gz
Approx 30% complete for PDAC206Tkf1_rev.fq.gz
Approx 30% complete for PDAC208T_F8-9kf1_fwd.fq.gz
Approx 90% complete for PDAC204Tkf1_fwd.fq.gz
Approx 70% complete for PDAC205Tkf1_rev.fq.gz
Approx 75% complete for PDAC205Tkf1_fwd.fq.gz
Approx 60% complete for PDAC207T_F8-9kf1_fwd.fq.gz
Approx 30% complete for PDAC208T_F8-9kf1_rev.fq.gz
Approx 35% complete for PDAC208T_F8-9kf1_fwd.fq.gz
Approx 30% complete for PDAC207Tkf1_rev.fq.gz
Approx 55% complete for PDAC207T_F8-9kf1_rev.fq.gz
Approx 85% complete for PDAC204Tkf1_rev.fq.gz
Approx 35% complete for PDAC207Tkf1_fwd.fq.gz
Approx 35% complete for PDAC208T_F8-9kf1_rev.fq.gz
Approx 40% complete for PDAC208T_F8-9kf1_fwd.fq.gz
Approx 65% complete for PDAC207T_F8-9kf1_fwd.fq.gz
Approx 80% complete for PDAC205Tkf1_fwd.fq.gz
Approx 75% complete for PDAC205Tkf1_rev.fq.gz
Approx 95% complete for PDAC204Tkf1_fwd.fq.gz
Approx 60% complete for PDAC207T_F8-9kf1_rev.fq.gz
Approx 35% complete for PDAC206Tkf1_fwd.fq.gz
Approx 40% complete for PDAC208T_F8-9kf1_rev.fq.gz
Approx 45% complete for PDAC208T_F8-9kf1_fwd.fq.gz
Approx 35% complete for PDAC207Tkf1_rev.fq.gz
Approx 95% complete for PDAC201Tkf1_rev.fq.gz
Approx 40% complete for PDAC207Tkf1_fwd.fq.gz
Approx 70% complete for PDAC207T_F8-9kf1_fwd.fq.gz
Analysis complete for PDAC201Tkf1_fwd.fq.gz
Started analysis of PDAC208Tkf1_fwd.fq.gz
Approx 45% complete for PDAC208T_F8-9kf1_rev.fq.gz
Approx 50% complete for PDAC208T_F8-9kf1_fwd.fq.gz
Approx 35% complete for PDAC206Tkf1_rev.fq.gz
Approx 90% complete for PDAC204Tkf1_rev.fq.gz
Approx 65% complete for PDAC207T_F8-9kf1_rev.fq.gz
Approx 85% complete for PDAC205Tkf1_fwd.fq.gz
Approx 80% complete for PDAC205Tkf1_rev.fq.gz
Approx 50% complete for PDAC208T_F8-9kf1_rev.fq.gz
Approx 40% complete for PDAC207Tkf1_rev.fq.gz
Approx 75% complete for PDAC207T_F8-9kf1_fwd.fq.gz
Approx 55% complete for PDAC208T_F8-9kf1_fwd.fq.gz
Analysis complete for PDAC204Tkf1_fwd.fq.gz
Approx 45% complete for PDAC207Tkf1_fwd.fq.gz
Started analysis of PDAC208Tkf1_rev.fq.gz
Approx 70% complete for PDAC207T_F8-9kf1_rev.fq.gz
Approx 55% complete for PDAC208T_F8-9kf1_rev.fq.gz
Approx 60% complete for PDAC208T_F8-9kf1_fwd.fq.gz
Approx 90% complete for PDAC205Tkf1_fwd.fq.gz
Approx 80% complete for PDAC207T_F8-9kf1_fwd.fq.gz
Approx 5% complete for PDAC208Tkf1_fwd.fq.gz
Approx 85% complete for PDAC205Tkf1_rev.fq.gz
Approx 40% complete for PDAC206Tkf1_fwd.fq.gz
Approx 95% complete for PDAC204Tkf1_rev.fq.gz
Approx 45% complete for PDAC207Tkf1_rev.fq.gz
Approx 65% complete for PDAC208T_F8-9kf1_fwd.fq.gz
Approx 60% complete for PDAC208T_F8-9kf1_rev.fq.gz
Approx 75% complete for PDAC207T_F8-9kf1_rev.fq.gz
Approx 50% complete for PDAC207Tkf1_fwd.fq.gz
Analysis complete for PDAC201Tkf1_rev.fq.gz
Started analysis of PDAC209T_F8-9kf1_fwd.fq.gz
Approx 85% complete for PDAC207T_F8-9kf1_fwd.fq.gz
Approx 5% complete for PDAC208Tkf1_rev.fq.gz
Approx 70% complete for PDAC208T_F8-9kf1_fwd.fq.gz
Approx 65% complete for PDAC208T_F8-9kf1_rev.fq.gz
Approx 40% complete for PDAC206Tkf1_rev.fq.gz
Approx 95% complete for PDAC205Tkf1_fwd.fq.gz
Approx 80% complete for PDAC207T_F8-9kf1_rev.fq.gz
Approx 5% complete for PDAC209T_F8-9kf1_fwd.fq.gz
Approx 90% complete for PDAC205Tkf1_rev.fq.gz
Approx 50% complete for PDAC207Tkf1_rev.fq.gz
Approx 55% complete for PDAC207Tkf1_fwd.fq.gz
Approx 10% complete for PDAC208Tkf1_fwd.fq.gz
Approx 75% complete for PDAC208T_F8-9kf1_fwd.fq.gz
Approx 70% complete for PDAC208T_F8-9kf1_rev.fq.gz
Approx 90% complete for PDAC207T_F8-9kf1_fwd.fq.gz
Analysis complete for PDAC204Tkf1_rev.fq.gz
Approx 10% complete for PDAC209T_F8-9kf1_fwd.fq.gz
Started analysis of PDAC209T_F8-9kf1_rev.fq.gz
Approx 85% complete for PDAC207T_F8-9kf1_rev.fq.gz
Approx 80% complete for PDAC208T_F8-9kf1_fwd.fq.gz
Approx 75% complete for PDAC208T_F8-9kf1_rev.fq.gz
Analysis complete for PDAC205Tkf1_fwd.fq.gz
Approx 15% complete for PDAC209T_F8-9kf1_fwd.fq.gz
Approx 10% complete for PDAC208Tkf1_rev.fq.gz
Approx 95% complete for PDAC207T_F8-9kf1_fwd.fq.gz
Approx 5% complete for PDAC209T_F8-9kf1_rev.fq.gz
Approx 55% complete for PDAC207Tkf1_rev.fq.gz
Started analysis of PDAC209Tkf1_fwd.fq.gz
Approx 95% complete for PDAC205Tkf1_rev.fq.gz
Approx 45% complete for PDAC206Tkf1_fwd.fq.gz
Approx 60% complete for PDAC207Tkf1_fwd.fq.gz
Approx 85% complete for PDAC208T_F8-9kf1_fwd.fq.gz
Approx 80% complete for PDAC208T_F8-9kf1_rev.fq.gz
Approx 90% complete for PDAC207T_F8-9kf1_rev.fq.gz
Approx 20% complete for PDAC209T_F8-9kf1_fwd.fq.gz
Approx 15% complete for PDAC208Tkf1_fwd.fq.gz
Approx 10% complete for PDAC209T_F8-9kf1_rev.fq.gz
Analysis complete for PDAC207T_F8-9kf1_fwd.fq.gz
Approx 90% complete for PDAC208T_F8-9kf1_fwd.fq.gz
Started analysis of PDAC209Tkf1_rev.fq.gz
Approx 45% complete for PDAC206Tkf1_rev.fq.gz
Approx 85% complete for PDAC208T_F8-9kf1_rev.fq.gz
Approx 25% complete for PDAC209T_F8-9kf1_fwd.fq.gz
Approx 60% complete for PDAC207Tkf1_rev.fq.gz
Approx 15% complete for PDAC209T_F8-9kf1_rev.fq.gz
Approx 65% complete for PDAC207Tkf1_fwd.fq.gz
Approx 5% complete for PDAC209Tkf1_fwd.fq.gz
Approx 95% complete for PDAC207T_F8-9kf1_rev.fq.gz
Analysis complete for PDAC205Tkf1_rev.fq.gz
Approx 95% complete for PDAC208T_F8-9kf1_fwd.fq.gz
Started analysis of PDAC210T_F8-9kf1_fwd.fq.gz
Approx 90% complete for PDAC208T_F8-9kf1_rev.fq.gz
Approx 15% complete for PDAC208Tkf1_rev.fq.gz
Approx 30% complete for PDAC209T_F8-9kf1_fwd.fq.gz
Approx 20% complete for PDAC209T_F8-9kf1_rev.fq.gz
Analysis complete for PDAC208T_F8-9kf1_fwd.fq.gz
Approx 5% complete for PDAC210T_F8-9kf1_fwd.fq.gz
Analysis complete for PDAC207T_F8-9kf1_rev.fq.gz
Approx 20% complete for PDAC208Tkf1_fwd.fq.gz
Approx 5% complete for PDAC209Tkf1_rev.fq.gz
Started analysis of PDAC210T_F8-9kf1_rev.fq.gz
Approx 95% complete for PDAC208T_F8-9kf1_rev.fq.gz
Approx 35% complete for PDAC209T_F8-9kf1_fwd.fq.gz
Approx 65% complete for PDAC207Tkf1_rev.fq.gz
Started analysis of PDAC210Tkf1_fwd.fq.gz
Approx 70% complete for PDAC207Tkf1_fwd.fq.gz
Approx 25% complete for PDAC209T_F8-9kf1_rev.fq.gz
Approx 50% complete for PDAC206Tkf1_fwd.fq.gz
Approx 10% complete for PDAC209Tkf1_fwd.fq.gz
Approx 10% complete for PDAC210T_F8-9kf1_fwd.fq.gz
Approx 5% complete for PDAC210T_F8-9kf1_rev.fq.gz
Approx 40% complete for PDAC209T_F8-9kf1_fwd.fq.gz
Analysis complete for PDAC208T_F8-9kf1_rev.fq.gz
Approx 30% complete for PDAC209T_F8-9kf1_rev.fq.gz
Started analysis of PDAC210Tkf1_rev.fq.gz
Approx 15% complete for PDAC210T_F8-9kf1_fwd.fq.gz
Approx 20% complete for PDAC208Tkf1_rev.fq.gz
Approx 10% complete for PDAC210T_F8-9kf1_rev.fq.gz
Approx 5% complete for PDAC210Tkf1_fwd.fq.gz
Approx 70% complete for PDAC207Tkf1_rev.fq.gz
Approx 50% complete for PDAC206Tkf1_rev.fq.gz
Approx 45% complete for PDAC209T_F8-9kf1_fwd.fq.gz
Approx 10% complete for PDAC209Tkf1_rev.fq.gz
Approx 75% complete for PDAC207Tkf1_fwd.fq.gz
Approx 35% complete for PDAC209T_F8-9kf1_rev.fq.gz
Approx 20% complete for PDAC210T_F8-9kf1_fwd.fq.gz
Approx 25% complete for PDAC208Tkf1_fwd.fq.gz
Approx 15% complete for PDAC209Tkf1_fwd.fq.gz
Approx 15% complete for PDAC210T_F8-9kf1_rev.fq.gz
Approx 50% complete for PDAC209T_F8-9kf1_fwd.fq.gz
Approx 5% complete for PDAC210Tkf1_rev.fq.gz
Approx 40% complete for PDAC209T_F8-9kf1_rev.fq.gz
Approx 25% complete for PDAC210T_F8-9kf1_fwd.fq.gz
Approx 10% complete for PDAC210Tkf1_fwd.fq.gz
Approx 20% complete for PDAC210T_F8-9kf1_rev.fq.gz
Approx 75% complete for PDAC207Tkf1_rev.fq.gz
Approx 80% complete for PDAC207Tkf1_fwd.fq.gz
Approx 55% complete for PDAC209T_F8-9kf1_fwd.fq.gz
Approx 15% complete for PDAC209Tkf1_rev.fq.gz
Approx 45% complete for PDAC209T_F8-9kf1_rev.fq.gz
Approx 25% complete for PDAC208Tkf1_rev.fq.gz
Approx 55% complete for PDAC206Tkf1_fwd.fq.gz
Approx 30% complete for PDAC210T_F8-9kf1_fwd.fq.gz
Approx 25% complete for PDAC210T_F8-9kf1_rev.fq.gz
Approx 20% complete for PDAC209Tkf1_fwd.fq.gz
Approx 60% complete for PDAC209T_F8-9kf1_fwd.fq.gz
Approx 10% complete for PDAC210Tkf1_rev.fq.gz
Approx 50% complete for PDAC209T_F8-9kf1_rev.fq.gz
Approx 30% complete for PDAC208Tkf1_fwd.fq.gz
Approx 35% complete for PDAC210T_F8-9kf1_fwd.fq.gz
Approx 15% complete for PDAC210Tkf1_fwd.fq.gz
Approx 80% complete for PDAC207Tkf1_rev.fq.gz
Approx 85% complete for PDAC207Tkf1_fwd.fq.gz
Approx 30% complete for PDAC210T_F8-9kf1_rev.fq.gz
Approx 65% complete for PDAC209T_F8-9kf1_fwd.fq.gz
Approx 55% complete for PDAC206Tkf1_rev.fq.gz
Approx 55% complete for PDAC209T_F8-9kf1_rev.fq.gz
Approx 20% complete for PDAC209Tkf1_rev.fq.gz
Approx 40% complete for PDAC210T_F8-9kf1_fwd.fq.gz
Approx 35% complete for PDAC210T_F8-9kf1_rev.fq.gz
Approx 15% complete for PDAC210Tkf1_rev.fq.gz
Approx 70% complete for PDAC209T_F8-9kf1_fwd.fq.gz
Approx 25% complete for PDAC209Tkf1_fwd.fq.gz
Approx 30% complete for PDAC208Tkf1_rev.fq.gz
Approx 60% complete for PDAC209T_F8-9kf1_rev.fq.gz
Approx 45% complete for PDAC210T_F8-9kf1_fwd.fq.gz
Approx 85% complete for PDAC207Tkf1_rev.fq.gz
Approx 20% complete for PDAC210Tkf1_fwd.fq.gz
Approx 90% complete for PDAC207Tkf1_fwd.fq.gz
Approx 40% complete for PDAC210T_F8-9kf1_rev.fq.gz
Approx 75% complete for PDAC209T_F8-9kf1_fwd.fq.gz
Approx 35% complete for PDAC208Tkf1_fwd.fq.gz
Approx 65% complete for PDAC209T_F8-9kf1_rev.fq.gz
Approx 25% complete for PDAC209Tkf1_rev.fq.gz
Approx 50% complete for PDAC210T_F8-9kf1_fwd.fq.gz
Approx 60% complete for PDAC206Tkf1_fwd.fq.gz
Approx 45% complete for PDAC210T_F8-9kf1_rev.fq.gz
Approx 20% complete for PDAC210Tkf1_rev.fq.gz
Approx 80% complete for PDAC209T_F8-9kf1_fwd.fq.gz
Approx 70% complete for PDAC209T_F8-9kf1_rev.fq.gz
Approx 30% complete for PDAC209Tkf1_fwd.fq.gz
Approx 55% complete for PDAC210T_F8-9kf1_fwd.fq.gz
Approx 95% complete for PDAC207Tkf1_fwd.fq.gz
Approx 90% complete for PDAC207Tkf1_rev.fq.gz
Approx 25% complete for PDAC210Tkf1_fwd.fq.gz
Approx 50% complete for PDAC210T_F8-9kf1_rev.fq.gz
Approx 35% complete for PDAC208Tkf1_rev.fq.gz
Approx 85% complete for PDAC209T_F8-9kf1_fwd.fq.gz
Approx 60% complete for PDAC206Tkf1_rev.fq.gz
Approx 75% complete for PDAC209T_F8-9kf1_rev.fq.gz
Approx 60% complete for PDAC210T_F8-9kf1_fwd.fq.gz
Approx 30% complete for PDAC209Tkf1_rev.fq.gz
Approx 40% complete for PDAC208Tkf1_fwd.fq.gz
Approx 55% complete for PDAC210T_F8-9kf1_rev.fq.gz
Approx 25% complete for PDAC210Tkf1_rev.fq.gz
Approx 90% complete for PDAC209T_F8-9kf1_fwd.fq.gz
Approx 80% complete for PDAC209T_F8-9kf1_rev.fq.gz
Approx 65% complete for PDAC210T_F8-9kf1_fwd.fq.gz
Approx 35% complete for PDAC209Tkf1_fwd.fq.gz
Analysis complete for PDAC207Tkf1_fwd.fq.gz
Approx 95% complete for PDAC207Tkf1_rev.fq.gz
Approx 30% complete for PDAC210Tkf1_fwd.fq.gz
Started analysis of PDAC211T_F8-9kf1_fwd.fq.gz
Approx 60% complete for PDAC210T_F8-9kf1_rev.fq.gz
Approx 95% complete for PDAC209T_F8-9kf1_fwd.fq.gz
Approx 85% complete for PDAC209T_F8-9kf1_rev.fq.gz
Approx 70% complete for PDAC210T_F8-9kf1_fwd.fq.gz
Approx 35% complete for PDAC209Tkf1_rev.fq.gz
Approx 5% complete for PDAC211T_F8-9kf1_fwd.fq.gz
Approx 40% complete for PDAC208Tkf1_rev.fq.gz
Approx 65% complete for PDAC206Tkf1_fwd.fq.gz
Approx 65% complete for PDAC210T_F8-9kf1_rev.fq.gz
Approx 30% complete for PDAC210Tkf1_rev.fq.gz
Analysis complete for PDAC209T_F8-9kf1_fwd.fq.gz
Started analysis of PDAC211T_F8-9kf1_rev.fq.gz
Approx 90% complete for PDAC209T_F8-9kf1_rev.fq.gz
Approx 75% complete for PDAC210T_F8-9kf1_fwd.fq.gz
Analysis complete for PDAC207Tkf1_rev.fq.gz
Approx 45% complete for PDAC208Tkf1_fwd.fq.gz
Approx 35% complete for PDAC210Tkf1_fwd.fq.gz
Approx 40% complete for PDAC209Tkf1_fwd.fq.gz
Started analysis of PDAC211Tkf1_fwd.fq.gz
Approx 10% complete for PDAC211T_F8-9kf1_fwd.fq.gz
Approx 70% complete for PDAC210T_F8-9kf1_rev.fq.gz
Approx 95% complete for PDAC209T_F8-9kf1_rev.fq.gz
Approx 5% complete for PDAC211T_F8-9kf1_rev.fq.gz
Approx 80% complete for PDAC210T_F8-9kf1_fwd.fq.gz
Approx 65% complete for PDAC206Tkf1_rev.fq.gz
Approx 40% complete for PDAC209Tkf1_rev.fq.gz
Approx 15% complete for PDAC211T_F8-9kf1_fwd.fq.gz
Approx 35% complete for PDAC210Tkf1_rev.fq.gz
Approx 75% complete for PDAC210T_F8-9kf1_rev.fq.gz
Analysis complete for PDAC209T_F8-9kf1_rev.fq.gz
Approx 85% complete for PDAC210T_F8-9kf1_fwd.fq.gz
Approx 40% complete for PDAC210Tkf1_fwd.fq.gz
Approx 10% complete for PDAC211T_F8-9kf1_rev.fq.gz
Started analysis of PDAC211Tkf1_rev.fq.gz
Approx 45% complete for PDAC208Tkf1_rev.fq.gz
Approx 45% complete for PDAC209Tkf1_fwd.fq.gz
Approx 80% complete for PDAC210T_F8-9kf1_rev.fq.gz
Approx 20% complete for PDAC211T_F8-9kf1_fwd.fq.gz
Approx 50% complete for PDAC208Tkf1_fwd.fq.gz
Approx 90% complete for PDAC210T_F8-9kf1_fwd.fq.gz
Approx 5% complete for PDAC211Tkf1_fwd.fq.gz
Approx 15% complete for PDAC211T_F8-9kf1_rev.fq.gz
Approx 40% complete for PDAC210Tkf1_rev.fq.gz
Approx 70% complete for PDAC206Tkf1_fwd.fq.gz
Approx 45% complete for PDAC209Tkf1_rev.fq.gz
Approx 85% complete for PDAC210T_F8-9kf1_rev.fq.gz
Approx 25% complete for PDAC211T_F8-9kf1_fwd.fq.gz
Approx 45% complete for PDAC210Tkf1_fwd.fq.gz
Approx 95% complete for PDAC210T_F8-9kf1_fwd.fq.gz
Approx 20% complete for PDAC211T_F8-9kf1_rev.fq.gz
Approx 50% complete for PDAC209Tkf1_fwd.fq.gz
Approx 90% complete for PDAC210T_F8-9kf1_rev.fq.gz
Approx 30% complete for PDAC211T_F8-9kf1_fwd.fq.gz
Approx 50% complete for PDAC208Tkf1_rev.fq.gz
Analysis complete for PDAC210T_F8-9kf1_fwd.fq.gz
Approx 5% complete for PDAC211Tkf1_rev.fq.gz
Approx 70% complete for PDAC206Tkf1_rev.fq.gz
Started analysis of PDAC212T_F8-9kf1_fwd.fq.gz
Approx 25% complete for PDAC211T_F8-9kf1_rev.fq.gz
Approx 45% complete for PDAC210Tkf1_rev.fq.gz
Approx 55% complete for PDAC208Tkf1_fwd.fq.gz
Approx 95% complete for PDAC210T_F8-9kf1_rev.fq.gz
Approx 50% complete for PDAC209Tkf1_rev.fq.gz
Approx 50% complete for PDAC210Tkf1_fwd.fq.gz
Approx 10% complete for PDAC211Tkf1_fwd.fq.gz
Approx 35% complete for PDAC211T_F8-9kf1_fwd.fq.gz
Approx 30% complete for PDAC211T_F8-9kf1_rev.fq.gz
Approx 5% complete for PDAC212T_F8-9kf1_fwd.fq.gz
Analysis complete for PDAC210T_F8-9kf1_rev.fq.gz
Approx 55% complete for PDAC209Tkf1_fwd.fq.gz
Started analysis of PDAC212T_F8-9kf1_rev.fq.gz
Approx 40% complete for PDAC211T_F8-9kf1_fwd.fq.gz
Approx 55% complete for PDAC208Tkf1_rev.fq.gz
Approx 50% complete for PDAC210Tkf1_rev.fq.gz
Approx 35% complete for PDAC211T_F8-9kf1_rev.fq.gz
Approx 75% complete for PDAC206Tkf1_fwd.fq.gz
Approx 55% complete for PDAC210Tkf1_fwd.fq.gz
Approx 10% complete for PDAC212T_F8-9kf1_fwd.fq.gz
Approx 10% complete for PDAC211Tkf1_rev.fq.gz
Approx 55% complete for PDAC209Tkf1_rev.fq.gz
Approx 45% complete for PDAC211T_F8-9kf1_fwd.fq.gz
Approx 60% complete for PDAC208Tkf1_fwd.fq.gz
Approx 5% complete for PDAC212T_F8-9kf1_rev.fq.gz
Approx 40% complete for PDAC211T_F8-9kf1_rev.fq.gz
Approx 15% complete for PDAC211Tkf1_fwd.fq.gz
Approx 60% complete for PDAC209Tkf1_fwd.fq.gz
Approx 50% complete for PDAC211T_F8-9kf1_fwd.fq.gz
Approx 15% complete for PDAC212T_F8-9kf1_fwd.fq.gz
Approx 75% complete for PDAC206Tkf1_rev.fq.gz
Approx 55% complete for PDAC210Tkf1_rev.fq.gz
Approx 10% complete for PDAC212T_F8-9kf1_rev.fq.gz
Approx 60% complete for PDAC210Tkf1_fwd.fq.gz
Approx 45% complete for PDAC211T_F8-9kf1_rev.fq.gz
Approx 60% complete for PDAC208Tkf1_rev.fq.gz
Approx 60% complete for PDAC209Tkf1_rev.fq.gz
Approx 55% complete for PDAC211T_F8-9kf1_fwd.fq.gz
Approx 20% complete for PDAC212T_F8-9kf1_fwd.fq.gz
Approx 15% complete for PDAC211Tkf1_rev.fq.gz
Approx 65% complete for PDAC208Tkf1_fwd.fq.gz
Approx 50% complete for PDAC211T_F8-9kf1_rev.fq.gz
Approx 15% complete for PDAC212T_F8-9kf1_rev.fq.gz
